  cell  ,E,W,N,S
"(34, 25)",1,1,0,1
"(35, 25)",1,0,1,0
"(1, 26)",1,1,0,0
"(2, 26)",0,0,0,1
"(3, 26)",0,1,1,1
"(4, 26)",0,1,1,0
"(5, 26)",1,0,0,1
"(6, 26)",0,1,1,1
"(7, 26)",0,0,1,0
"(8, 26)",1,1,0,1
"(9, 26)",1,1,1,0
"(10, 26)",0,1,0,1
"(11, 26)",0,0,1,1
"(12, 26)",0,1,1,1
"(13, 26)",1,0,1,1
"(14, 26)",0,1,1,0
"(15, 26)",0,1,0,1
"(16, 26)",1,0,1,1
"(17, 26)",1,1,1,0
"(18, 26)",1,0,0,0
"(19, 26)",0,1,0,1
"(20, 26)",0,1,1,0
"(21, 26)",1,0,0,1
"(22, 26)",0,1,1,1
"(23, 26)",1,1,1,1
"(24, 26)",1,1,1,0
"(25, 26)",1,0,0,1
"(26, 26)",0,1,1,0
"(27, 26)",1,1,0,1
"(28, 26)",0,0,1,1
"(29, 26)",0,1,1,1
"(30, 26)",0,0,1,0
"(31, 26)",0,1,0,1
"(32, 26)",1,1,1,0
"(33, 26)",1,1,0,0
"(34, 26)",0,1,0,0
"(35, 26)",1,1,0,0
"(1, 27)",1,1,0,1
"(2, 27)",1,0,1,1
"(3, 27)",0,0,1,1
"(4, 27)",0,0,1,1
"(5, 27)",0,1,1,0
"(6, 27)",1,0,0,1
"(7, 27)",0,0,1,1
"(8, 27)",0,1,1,0
"(9, 27)",0,1,0,1
"(10, 27)",1,0,1,0
"(11, 27)",1,0,0,1
"(12, 27)",1,0,1,0
"(13, 27)",1,1,0,0
"(14, 27)",1,0,0,1
"(15, 27)",1,0,1,1
"(16, 27)",1,1,1,0
"(17, 27)",1,1,0,0
"(18, 27)",0,1,0,1
"(19, 27)",1,0,1,1
"(20, 27)",1,0,1,0
"(21, 27)",0,1,0,1
"(22, 27)",1,0,1,0
"(23, 27)",1,1,0,0
"(24, 27)",1,1,0,0
"(25, 27)",0,1,0,1
"(26, 27)",1,0,1,1
"(27, 27)",1,1,1,0
"(28, 27)",1,0,0,1
"(29, 27)",1,0,1,1
"(30, 27)",0,0,1,1
"(31, 27)",1,0,1,0
"(32, 27)",1,1,0,1
"(33, 27)",0,1,1,0
"(34, 27)",1,0,0,1
"(35, 27)",1,1,1,0
"(1, 28)",1,1,0,0
"(2, 28)",1,1,0,1
"(3, 28)",1,0,1,1
"(4, 28)",0,0,1,1
"(5, 28)",1,0,1,0
"(6, 28)",1,1,0,0
"(7, 28)",1,0,0,1
"(8, 28)",0,0,1,1
"(9, 28)",1,0,1,0
"(10, 28)",0,1,0,0
"(11, 28)",1,1,0,0
"(12, 28)",0,1,0,1
"(13, 28)",0,1,1,1
"(14, 28)",1,1,1,0
"(15, 28)",1,1,0,0
"(16, 28)",0,1,0,1
"(17, 28)",1,1,1,0
"(18, 28)",1,0,0,1
"(19, 28)",0,1,1,0
"(20, 28)",1,1,0,0
"(21, 28)",1,0,0,0
"(22, 28)",1,1,0,0
"(23, 28)",1,1,0,0
"(24, 28)",1,1,0,1
"(25, 28)",0,0,1,1
"(26, 28)",1,1,1,0
"(27, 28)",0,1,0,0
"(28, 28)",1,1,0,0
"(29, 28)",1,1,0,0
"(30, 28)",1,0,0,1
"(31, 28)",0,1,1,0
"(32, 28)",0,1,0,1
"(33, 28)",0,0,1,1
"(34, 28)",0,1,1,0
"(35, 28)",1,1,0,0
"(1, 29)",1,1,0,0
"(2, 29)",1,1,0,0
"(3, 29)",1,1,0,1
"(4, 29)",1,0,1,1
"(5, 29)",0,1,1,0
"(6, 29)",1,1,0,1
"(7, 29)",0,1,1,1
"(8, 29)",0,0,1,0
"(9, 29)",1,1,0,0
"(10, 29)",1,0,0,1
"(11, 29)",0,1,1,1
"(12, 29)",1,0,1,0
"(13, 29)",1,0,0,1
"(14, 29)",1,1,1,1
"(15, 29)",0,1,1,0
"(16, 29)",1,0,0,1
"(17, 29)",0,1,1,1
"(18, 29)",1,1,1,1
"(19, 29)",1,0,1,1
"(20, 29)",0,1,1,1
"(21, 29)",0,1,1,1
"(22, 29)",0,1,1,0
"(23, 29)",1,1,0,1
"(24, 29)",0,1,1,1
"(25, 29)",1,0,1,0
"(26, 29)",1,1,0,1
"(27, 29)",1,0,1,0
"(28, 29)",0,1,0,1
"(29, 29)",1,1,1,0
"(30, 29)",0,1,0,1
"(31, 29)",0,0,1,1
"(32, 29)",0,0,1,1
"(33, 29)",0,0,1,1
"(34, 29)",1,0,1,0
"(35, 29)",1,1,0,0
"(1, 30)",1,1,0,0
"(2, 30)",1,1,0,0
"(3, 30)",1,1,0,0
"(4, 30)",1,1,0,0
"(5, 30)",1,0,0,1
"(6, 30)",1,1,1,0
"(7, 30)",1,0,0,1
"(8, 30)",1,0,1,0
"(9, 30)",1,1,0,0
"(10, 30)",1,1,0,1
"(11, 30)",1,0,1,0
"(12, 30)",0,1,0,1
"(13, 30)",1,1,1,0
"(14, 30)",1,1,0,1
"(15, 30)",0,0,1,1
"(16, 30)",1,1,1,1
"(17, 30)",1,0,1,0
"(18, 30)",1,1,0,0
"(19, 30)",0,1,0,1
"(20, 30)",0,0,1,1
"(21, 30)",1,0,1,0
"(22, 30)",1,0,0,1
"(23, 30)",1,1,1,1
"(24, 30)",0,0,1,1
"(25, 30)",0,1,1,1
"(26, 30)",1,1,1,0
"(27, 30)",0,1,0,1
"(28, 30)",1,0,1,1
"(29, 30)",1,1,1,0
"(30, 30)",0,0,0,1
"(31, 30)",1,0,1,1
"(32, 30)",0,0,1,1
"(33, 30)",1,0,1,0
"(34, 30)",0,1,0,1
"(35, 30)",1,1,1,0
"(1, 31)",1,1,0,0
"(2, 31)",1,1,0,0
"(3, 31)",1,1,0,0
"(4, 31)",0,1,0,0
"(5, 31)",1,1,0,0
"(6, 31)",0,1,0,1
"(7, 31)",1,1,1,0
"(8, 31)",1,1,0,1
"(9, 31)",0,1,1,1
"(10, 31)",0,1,1,0
"(11, 31)",0,1,0,1
"(12, 31)",1,0,1,0
"(13, 31)",0,1,0,1
"(14, 31)",0,1,1,0
"(15, 31)",1,0,0,1
"(16, 31)",1,1,1,0
"(17, 31)",1,1,0,0
"(18, 31)",1,1,0,0
"(19, 31)",1,0,0,1
"(20, 31)",1,0,1,0
"(21, 31)",1,1,0,0
"(22, 31)",1,1,0,0
"(23, 31)",1,1,0,1
"(24, 31)",1,0,1,1
"(25, 31)",1,0,1,0
"(26, 31)",1,1,0,0
"(27, 31)",1,0,0,1
"(28, 31)",1,1,1,0
"(29, 31)",0,1,0,1
"(30, 31)",1,0,1,1
"(31, 31)",0,1,1,1
"(32, 31)",1,0,1,1
"(33, 31)",0,1,1,1
"(34, 31)",0,0,1,0
"(35, 31)",1,1,0,0
"(1, 32)",1,1,0,1
"(2, 32)",1,1,1,1
"(3, 32)",1,1,1,0
"(4, 32)",1,0,0,1
"(5, 32)",0,1,1,0
"(6, 32)",1,0,0,1
"(7, 32)",1,1,1,0
"(8, 32)",0,1,0,1
"(9, 32)",0,0,1,1
"(10, 32)",1,0,1,1
"(11, 32)",1,0,1,0
"(12, 32)",0,1,0,1
"(13, 32)",1,0,1,1
"(14, 32)",0,0,1,1
"(15, 32)",1,1,1,0
"(16, 32)",0,1,0,1
"(17, 32)",0,1,1,1
"(18, 32)",1,1,1,0
"(19, 32)",1,1,0,0
"(20, 32)",1,1,0,1
"(21, 32)",1,1,1,0
"(22, 32)",0,1,0,1
"(23, 32)",1,1,1,0
"(24, 32)",1,1,0,0
"(25, 32)",1,1,0,0
"(26, 32)",1,1,0,0
"(27, 32)",1,1,0,0
"(28, 32)",0,1,0,1
"(29, 32)",1,0,1,1
"(30, 32)",1,1,1,1
"(31, 32)",0,0,1,1
"(32, 32)",0,1,1,1
"(33, 32)",1,0,1,0
"(34, 32)",1,0,0,1
"(35, 32)",1,1,1,0
"(1, 33)",1,1,0,0
"(2, 33)",1,1,0,0
"(3, 33)",1,1,0,1
"(4, 33)",0,1,1,0
"(5, 33)",1,0,0,1
"(6, 33)",1,1,1,0
"(7, 33)",0,1,0,1
"(8, 33)",1,0,1,0
"(9, 33)",1,0,0,1
"(10, 33)",0,1,1,0
"(11, 33)",1,1,0,1
"(12, 33)",0,0,1,0
"(13, 33)",0,1,0,1
"(14, 33)",1,0,1,0
"(15, 33)",1,1,0,1
"(16, 33)",0,0,1,1
"(17, 33)",1,0,1,1
"(18, 33)",0,1,1,0
"(19, 33)",1,1,0,1
"(20, 33)",0,1,1,0
"(21, 33)",1,1,0,0
"(22, 33)",1,0,0,1
"(23, 33)",0,1,1,0
"(24, 33)",0,1,0,1
"(25, 33)",1,1,1,1
"(26, 33)",0,1,1,0
"(27, 33)",0,1,0,1
"(28, 33)",1,0,1,0
"(29, 33)",1,1,0,0
"(30, 33)",1,1,0,1
"(31, 33)",0,0,1,1
"(32, 33)",1,0,1,1
"(33, 33)",1,1,1,0
"(34, 33)",1,1,0,0
"(35, 33)",1,1,0,0
"(1, 34)",0,1,0,1
"(2, 34)",0,1,1,0
"(3, 34)",1,1,0,0
"(4, 34)",1,0,0,1
"(5, 34)",1,1,1,0
"(6, 34)",1,1,0,1
"(7, 34)",0,0,1,0
"(8, 34)",0,1,0,1
"(9, 34)",0,1,1,0
"(10, 34)",1,0,0,0
"(11, 34)",0,1,0,1
"(12, 34)",0,0,1,1
"(13, 34)",1,0,1,1
"(14, 34)",0,1,1,0
"(15, 34)",0,1,0,1
"(16, 34)",1,0,1,1
"(17, 34)",0,1,1,0
"(18, 34)",1,0,0,1
"(19, 34)",1,1,1,0
"(20, 34)",1,0,0,1
"(21, 34)",0,1,1,0
"(22, 34)",1,1,0,1
"(23, 34)",1,0,1,1
"(24, 34)",1,0,1,1
"(25, 34)",1,1,1,0
"(26, 34)",1,0,0,1
"(27, 34)",0,0,1,0
"(28, 34)",1,1,0,1
"(29, 34)",0,1,1,0
"(30, 34)",1,1,0,0
"(31, 34)",1,0,0,1
"(32, 34)",1,1,1,0
"(33, 34)",0,1,0,1
"(34, 34)",0,1,1,0
"(35, 34)",1,1,0,0
"(1, 35)",1,0,0,1
"(2, 35)",0,0,1,1
"(3, 35)",1,1,1,0
"(4, 35)",1,1,0,0
"(5, 35)",1,1,0,1
"(6, 35)",0,1,1,1
"(7, 35)",1,0,1,1
"(8, 35)",0,0,1,1
"(9, 35)",1,0,1,1
"(10, 35)",0,1,1,1
"(11, 35)",1,0,1,0
"(12, 35)",1,0,0,1
"(13, 35)",0,1,1,1
"(14, 35)",0,0,1,1
"(15, 35)",0,0,1,1
"(16, 35)",1,1,1,0
"(17, 35)",1,0,0,1
"(18, 35)",1,1,1,0
"(19, 35)",0,1,0,0
"(20, 35)",1,1,0,0
"(21, 35)",1,0,0,1
"(22, 35)",0,1,1,0
"(23, 35)",1,1,0,0
"(24, 35)",1,1,0,0
"(25, 35)",0,1,0,1
"(26, 35)",0,1,1,1
"(27, 35)",1,0,1,1
"(28, 35)",1,1,1,1
"(29, 35)",1,0,1,1
"(30, 35)",1,1,1,0
"(31, 35)",1,1,0,0
"(32, 35)",0,1,0,1
"(33, 35)",1,0,1,0
"(34, 35)",1,0,0,1
"(35, 35)",0,1,1,0
"(1, 36)",0,1,0,1
"(2, 36)",1,0,1,0
"(3, 36)",0,1,0,0
"(4, 36)",1,1,0,0
"(5, 36)",0,1,0,1
"(6, 36)",1,0,1,0
"(7, 36)",1,1,0,1
"(8, 36)",0,0,1,1
"(9, 36)",1,1,1,0
"(10, 36)",1,0,0,0
"(11, 36)",1,1,0,0
"(12, 36)",0,1,0,1
"(13, 36)",1,0,1,0
"(14, 36)",1,0,0,1
"(15, 36)",0,0,1,1
"(16, 36)",1,1,1,0
"(17, 36)",1,1,0,0
"(18, 36)",0,1,0,1
"(19, 36)",0,0,1,1
"(20, 36)",0,1,1,0
"(21, 36)",1,1,0,1
"(22, 36)",1,0,1,1
"(23, 36)",0,1,1,0
"(24, 36)",0,1,0,1
"(25, 36)",0,0,1,1
"(26, 36)",0,0,1,1
"(27, 36)",0,1,1,0
"(28, 36)",1,1,0,0
"(29, 36)",1,1,0,0
"(30, 36)",1,1,0,1
"(31, 36)",0,1,1,1
"(32, 36)",1,0,1,1
"(33, 36)",1,1,1,0
"(34, 36)",0,1,0,1
"(35, 36)",1,0,1,0
"(1, 37)",1,0,0,1
"(2, 37)",1,1,1,1
"(3, 37)",1,0,1,1
"(4, 37)",0,1,1,0
"(5, 37)",1,0,0,1
"(6, 37)",0,1,1,1
"(7, 37)",1,1,1,0
"(8, 37)",1,0,0,1
"(9, 37)",0,1,1,0
"(10, 37)",0,1,0,1
"(11, 37)",1,1,1,1
"(12, 37)",0,0,1,1
"(13, 37)",0,1,1,0
"(14, 37)",1,1,0,0
"(15, 37)",1,0,0,1
"(16, 37)",0,1,1,1
"(17, 37)",0,1,1,1
"(18, 37)",1,0,1,1
"(19, 37)",1,0,1,0
"(20, 37)",0,0,0,1
"(21, 37)",1,1,1,0
"(22, 37)",1,1,0,1
"(23, 37)",1,0,1,0
"(24, 37)",1,0,0,1
"(25, 37)",1,0,1,0
"(26, 37)",0,0,0,1
"(27, 37)",1,0,1,1
"(28, 37)",0,1,1,1
"(29, 37)",1,1,1,1
"(30, 37)",0,1,1,0
"(31, 37)",1,0,0,1
"(32, 37)",0,1,1,0
"(33, 37)",1,1,0,1
"(34, 37)",0,0,1,1
"(35, 37)",1,1,1,0
"(1, 38)",1,1,0,0
"(2, 38)",0,1,0,0
"(3, 38)",1,1,0,0
"(4, 38)",0,0,0,1
"(5, 38)",1,1,1,1
"(6, 38)",1,0,1,0
"(7, 38)",1,1,0,1
"(8, 38)",0,1,1,1
"(9, 38)",1,0,1,1
"(10, 38)",0,0,1,1
"(11, 38)",0,1,1,1
"(12, 38)",1,0,1,0
"(13, 38)",1,0,0,0
"(14, 38)",1,1,0,0
"(15, 38)",1,1,0,0
"(16, 38)",0,0,0,1
"(17, 38)",1,0,1,1
"(18, 38)",0,1,1,0
"(19, 38)",1,1,0,1
"(20, 38)",0,0,1,1
"(21, 38)",1,1,1,1
"(22, 38)",0,1,1,0
"(23, 38)",1,1,0,0
"(24, 38)",1,1,0,0
"(25, 38)",1,1,0,1
"(26, 38)",1,0,1,0
"(27, 38)",0,1,0,1
"(28, 38)",1,0,1,1
"(29, 38)",0,1,1,1
"(30, 38)",0,0,1,0
"(31, 38)",1,1,0,0
"(32, 38)",1,0,0,0
"(33, 38)",1,1,0,1
"(34, 38)",0,0,1,1
"(35, 38)",1,1,1,0
"(1, 39)",0,1,0,1
"(2, 39)",1,0,1,0
"(3, 39)",0,1,0,1
"(4, 39)",0,0,1,1
"(5, 39)",0,1,1,0
"(6, 39)",1,1,0,1
"(7, 39)",1,1,1,0
"(8, 39)",1,0,0,1
"(9, 39)",0,1,1,1
"(10, 39)",0,0,1,1
"(11, 39)",0,0,1,1
"(12, 39)",0,1,1,1
"(13, 39)",1,1,1,1
"(14, 39)",0,1,1,0
"(15, 39)",0,1,0,1
"(16, 39)",0,0,1,1
"(17, 39)",1,1,1,1
"(18, 39)",0,0,1,1
"(19, 39)",0,1,1,1
"(20, 39)",1,0,1,0
"(21, 39)",1,1,0,0
"(22, 39)",1,0,0,1
"(23, 39)",1,1,1,1
"(24, 39)",0,1,1,1
"(25, 39)",1,1,1,0
"(26, 39)",1,1,0,0
"(27, 39)",0,0,0,1
"(28, 39)",0,1,1,0
"(29, 39)",1,0,0,1
"(30, 39)",1,0,1,0
"(31, 39)",1,1,0,0
"(32, 39)",1,1,0,1
"(33, 39)",1,1,1,1
"(34, 39)",0,0,1,0
"(35, 39)",1,1,0,0
"(1, 40)",1,0,0,1
"(2, 40)",1,1,1,0
"(3, 40)",1,0,0,1
"(4, 40)",0,0,1,1
"(5, 40)",1,0,1,0
"(6, 40)",1,1,0,0
"(7, 40)",0,1,0,1
"(8, 40)",1,1,1,0
"(9, 40)",1,0,0,1
"(10, 40)",0,0,1,1
"(11, 40)",0,0,1,1
"(12, 40)",0,0,1,0
"(13, 40)",1,1,0,0
"(14, 40)",0,0,0,1
"(15, 40)",1,0,1,1
"(16, 40)",1,0,1,0
"(17, 40)",1,1,0,0
"(18, 40)",1,0,0,1
"(19, 40)",1,0,1,0
"(20, 40)",1,1,0,1
"(21, 40)",1,1,1,1
"(22, 40)",1,1,1,0
"(23, 40)",1,1,0,0
"(24, 40)",1,0,0,1
"(25, 40)",0,1,1,1
"(26, 40)",0,1,1,1
"(27, 40)",0,0,1,1
"(28, 40)",0,0,1,1
"(29, 40)",1,1,1,0
"(30, 40)",0,1,0,1
"(31, 40)",1,1,1,1
"(32, 40)",0,1,1,0
"(33, 40)",1,1,0,1
"(34, 40)",1,0,1,1
"(35, 40)",1,1,1,0
"(1, 41)",1,1,0,0
"(2, 41)",1,1,0,1
"(3, 41)",0,1,1,0
"(4, 41)",1,0,0,1
"(5, 41)",0,1,1,1
"(6, 41)",1,1,1,0
"(7, 41)",1,0,0,1
"(8, 41)",0,1,1,0
"(9, 41)",1,1,0,1
"(10, 41)",0,0,1,1
"(11, 41)",1,0,1,1
"(12, 41)",1,0,1,0
"(13, 41)",0,1,0,1
"(14, 41)",0,0,1,1
"(15, 41)",0,1,1,0
"(16, 41)",0,1,0,1
"(17, 41)",0,1,1,1
"(18, 41)",0,1,1,0
"(19, 41)",1,1,0,0
"(20, 41)",1,1,0,0
"(21, 41)",1,1,0,0
"(22, 41)",1,1,0,0
"(23, 41)",0,1,0,1
"(24, 41)",0,1,1,1
"(25, 41)",0,0,1,1
"(26, 41)",1,0,1,0
"(27, 41)",1,0,0,1
"(28, 41)",1,0,1,0
"(29, 41)",1,1,0,0
"(30, 41)",1,0,0,1
"(31, 41)",1,1,1,1
"(32, 41)",0,0,1,1
"(33, 41)",1,1,1,0
"(34, 41)",1,1,0,0
"(35, 41)",1,1,0,0
"(1, 42)",1,1,0,1
"(2, 42)",1,1,1,1
"(3, 42)",0,0,1,1
"(4, 42)",1,1,1,0
"(5, 42)",1,0,0,1
"(6, 42)",1,1,1,0
"(7, 42)",1,1,0,1
"(8, 42)",1,0,1,1
"(9, 42)",1,1,1,0
"(10, 42)",1,0,0,1
"(11, 42)",0,1,1,0
"(12, 42)",1,1,0,1
"(13, 42)",1,0,1,1
"(14, 42)",1,0,1,1
"(15, 42)",0,0,1,1
"(16, 42)",0,0,1,1
"(17, 42)",0,0,1,1
"(18, 42)",0,0,1,1
"(19, 42)",1,1,1,0
"(20, 42)",1,1,0,1
"(21, 42)",0,1,1,0
"(22, 42)",0,1,0,1
"(23, 42)",0,0,1,1
"(24, 42)",1,0,1,1
"(25, 42)",0,0,1,1
"(26, 42)",0,1,1,0
"(27, 42)",1,1,0,0
"(28, 42)",0,1,0,1
"(29, 42)",1,1,1,1
"(30, 42)",0,1,1,0
"(31, 42)",1,1,0,1
"(32, 42)",1,0,1,0
"(33, 42)",0,1,0,1
"(34, 42)",1,1,1,1
"(35, 42)",1,1,1,0
"(1, 43)",1,1,0,0
"(2, 43)",1,1,0,0
"(3, 43)",0,0,0,1
"(4, 43)",0,1,1,1
"(5, 43)",0,1,1,0
"(6, 43)",0,1,0,1
"(7, 43)",1,1,1,0
"(8, 43)",1,1,0,0
"(9, 43)",0,1,0,1
"(10, 43)",1,1,1,0
"(11, 43)",1,0,0,1
"(12, 43)",1,1,1,0
"(13, 43)",0,1,0,0
"(14, 43)",1,1,0,1
"(15, 43)",0,0,1,1
"(16, 43)",1,0,1,0
"(17, 43)",1,0,0,1
"(18, 43)",1,0,1,1
"(19, 43)",1,1,1,0
"(20, 43)",0,1,0,0
"(21, 43)",1,0,0,1
"(22, 43)",1,0,1,1
"(23, 43)",1,0,1,1
"(24, 43)",0,1,1,1
"(25, 43)",1,0,1,1
"(26, 43)",0,0,1,1
"(27, 43)",0,1,1,0
"(28, 43)",0,0,0,1
"(29, 43)",1,1,1,1
"(30, 43)",1,0,1,0
"(31, 43)",1,1,0,0
"(32, 43)",0,1,0,1
"(33, 43)",1,0,1,1
"(34, 43)",0,1,1,0
"(35, 43)",1,1,0,0
"(1, 44)",1,1,0,1
"(2, 44)",0,1,1,0
"(3, 44)",1,0,0,1
"(4, 44)",0,0,1,1
"(5, 44)",0,0,1,1
"(6, 44)",1,0,1,1
"(7, 44)",0,1,1,1
"(8, 44)",1,1,1,0
"(9, 44)",0,0,0,1
"(10, 44)",1,1,1,0
"(11, 44)",1,1,0,0
"(12, 44)",0,1,0,0
"(13, 44)",1,0,0,1
"(14, 44)",0,1,1,1
"(15, 44)",0,0,1,0
"(16, 44)",0,1,0,1
"(17, 44)",1,1,1,0
"(18, 44)",1,1,0,0
"(19, 44)",1,1,0,1
"(20, 44)",0,0,1,1
"(21, 44)",1,1,1,0
"(22, 44)",1,1,0,0
"(23, 44)",0,1,0,1
"(24, 44)",1,0,1,0
"(25, 44)",0,1,0,1
"(26, 44)",1,0,1,1
"(27, 44)",0,0,1,1
"(28, 44)",1,0,1,1
"(29, 44)",0,1,1,0
"(30, 44)",1,1,0,1
"(31, 44)",1,1,1,1
"(32, 44)",1,0,1,1
"(33, 44)",0,1,1,1
"(34, 44)",1,0,1,1
"(35, 44)",1,1,1,0
"(1, 45)",1,1,0,1
"(2, 45)",0,0,1,1
"(3, 45)",0,1,1,1
"(4, 45)",0,0,1,1
"(5, 45)",1,0,1,0
"(6, 45)",0,1,0,1
"(7, 45)",1,0,1,0
"(8, 45)",0,1,0,1
"(9, 45)",1,0,1,0
"(10, 45)",0,1,0,0
"(11, 45)",1,1,0,1
"(12, 45)",0,0,1,1
"(13, 45)",1,1,1,0
"(14, 45)",1,0,0,1
"(15, 45)",1,0,1,1
"(16, 45)",1,0,1,0
"(17, 45)",1,1,0,1
"(18, 45)",1,1,1,0
"(19, 45)",1,1,0,1
"(20, 45)",0,0,1,1
"(21, 45)",1,1,1,1
"(22, 45)",0,1,1,1
"(23, 45)",1,0,1,0
"(24, 45)",1,1,0,1
"(25, 45)",1,0,1,0
"(26, 45)",0,1,0,0
"(27, 45)",1,0,0,1
"(28, 45)",0,1,1,0
"(29, 45)",1,0,0,1
"(30, 45)",1,1,1,0
"(31, 45)",1,1,0,0
"(32, 45)",1,1,0,0
"(33, 45)",0,0,0,1
"(34, 45)",1,1,1,0
"(35, 45)",1,1,0,0
"(1, 46)",0,1,0,1
"(2, 46)",0,0,1,1
"(3, 46)",0,0,1,1
"(4, 46)",0,0,1,1
"(5, 46)",0,1,1,1
"(6, 46)",1,0,1,0
"(7, 46)",0,1,0,1
"(8, 46)",1,0,1,0
"(9, 46)",1,1,0,1
"(10, 46)",1,0,1,0
"(11, 46)",1,1,0,1
"(12, 46)",1,0,1,0
"(13, 46)",1,1,0,1
"(14, 46)",0,1,1,0
"(15, 46)",1,1,0,0
"(16, 46)",0,1,0,1
"(17, 46)",1,1,1,0
"(18, 46)",0,1,0,1
"(19, 46)",1,1,1,0
"(20, 46)",1,0,0,1
"(21, 46)",0,1,1,1
"(22, 46)",0,0,1,1
"(23, 46)",1,1,1,0
"(24, 46)",0,1,0,0
"(25, 46)",0,1,0,1
"(26, 46)",1,0,1,0
"(27, 46)",1,1,0,0
"(28, 46)",1,0,0,1
"(29, 46)",0,1,1,0
"(30, 46)",1,1,0,0
"(31, 46)",1,1,0,0
"(32, 46)",0,1,0,1
"(33, 46)",1,0,1,0
"(34, 46)",1,1,0,1
"(35, 46)",1,1,1,0
"(1, 47)",1,0,0,1
"(2, 47)",0,0,1,1
"(3, 47)",0,0,1,1
"(4, 47)",0,0,1,1
"(5, 47)",0,0,1,1
"(6, 47)",1,1,1,1
"(7, 47)",0,0,1,1
"(8, 47)",1,1,1,1
"(9, 47)",0,1,1,0
"(10, 47)",0,1,0,1
"(11, 47)",1,1,1,0
"(12, 47)",1,1,0,1
"(13, 47)",0,1,1,1
"(14, 47)",1,0,1,0
"(15, 47)",1,1,0,1
"(16, 47)",1,0,1,0
"(17, 47)",1,1,0,0
"(18, 47)",0,0,0,1
"(19, 47)",1,1,1,0
"(20, 47)",1,1,0,0
"(21, 47)",1,0,0,1
"(22, 47)",1,0,1,1
"(23, 47)",0,1,1,1
"(24, 47)",0,0,1,1
"(25, 47)",0,0,1,1
"(26, 47)",1,1,1,1
"(27, 47)",1,1,1,0
"(28, 47)",1,1,0,0
"(29, 47)",1,0,0,1
"(30, 47)",0,1,1,1
"(31, 47)",0,1,1,0
"(32, 47)",1,0,0,1
"(33, 47)",0,1,1,0
"(34, 47)",0,1,0,0
"(35, 47)",1,1,0,0
"(1, 48)",0,1,0,1
"(2, 48)",0,0,1,1
"(3, 48)",1,0,1,0
"(4, 48)",1,0,0,1
"(5, 48)",1,0,1,1
"(6, 48)",1,1,1,0
"(7, 48)",0,0,0,1
"(8, 48)",0,1,1,1
"(9, 48)",1,0,1,1
"(10, 48)",1,0,1,1
"(11, 48)",0,1,1,1
"(12, 48)",1,1,1,0
"(13, 48)",1,0,0,1
"(14, 48)",0,1,1,0
"(15, 48)",1,1,0,0
"(16, 48)",1,1,0,0
"(17, 48)",1,1,0,1
"(18, 48)",0,0,1,1
"(19, 48)",1,1,1,0
"(20, 48)",1,1,0,0
"(21, 48)",1,1,0,0
"(22, 48)",1,1,0,1
"(23, 48)",0,0,1,1
"(24, 48)",0,0,1,1
"(25, 48)",1,0,1,0
"(26, 48)",1,1,0,0
"(27, 48)",1,1,0,1
"(28, 48)",0,1,1,1
"(29, 48)",1,1,1,1
"(30, 48)",1,0,1,1
"(31, 48)",0,0,1,1
"(32, 48)",0,1,1,0
"(33, 48)",1,0,0,1
"(34, 48)",1,0,1,1
"(35, 48)",1,1,1,0
"(1, 49)",1,0,0,1
"(2, 49)",0,0,1,1
"(3, 49)",1,1,1,0
"(4, 49)",1,1,0,0
"(5, 49)",1,1,0,0
"(6, 49)",1,1,0,0
"(7, 49)",1,0,0,1
"(8, 49)",1,0,1,1
"(9, 49)",0,1,1,0
"(10, 49)",0,1,0,1
"(11, 49)",0,0,1,1
"(12, 49)",0,1,1,0
"(13, 49)",0,1,0,1
"(14, 49)",1,0,1,0
"(15, 49)",0,1,0,0
"(16, 49)",1,1,0,1
"(17, 49)",0,1,1,1
"(18, 49)",1,0,1,0
"(19, 49)",1,1,0,0
"(20, 49)",1,1,0,0
"(21, 49)",0,1,0,1
"(22, 49)",1,1,1,1
"(23, 49)",0,0,1,1
"(24, 49)",1,0,1,1
"(25, 49)",0,1,1,0
"(26, 49)",1,1,0,1
"(27, 49)",0,1,1,1
"(28, 49)",0,0,1,1
"(29, 49)",1,1,1,0
"(30, 49)",1,1,0,1
"(31, 49)",0,0,1,1
"(32, 49)",1,0,1,0
"(33, 49)",1,1,0,0
"(34, 49)",1,1,0,0
"(35, 49)",1,1,0,0
"(1, 50)",0,1,0,1
"(2, 50)",0,0,1,1
"(3, 50)",0,1,1,1
"(4, 50)",0,1,1,1
"(5, 50)",0,1,1,0
"(6, 50)",0,1,0,1
"(7, 50)",0,1,1,0
"(8, 50)",0,1,0,1
"(9, 50)",0,0,1,1
"(10, 50)",0,0,1,1
"(11, 50)",0,0,1,1
"(12, 50)",0,0,1,1
"(13, 50)",0,0,1,1
"(14, 50)",0,1,1,1
"(15, 50)",0,0,1,1
"(16, 50)",0,1,1,1
"(17, 50)",0,0,1,1
"(18, 50)",0,1,1,1
"(19, 50)",0,1,1,1
"(20, 50)",0,1,1,1
"(21, 50)",0,0,1,1
"(22, 50)",0,1,1,1
"(23, 50)",0,0,1,1
"(24, 50)",0,1,1,0
"(25, 50)",0,0,0,1
"(26, 50)",0,1,1,1
"(27, 50)",0,0,1,1
"(28, 50)",0,0,1,1
"(29, 50)",0,1,1,1
"(30, 50)",0,1,1,0
"(31, 50)",0,0,0,1
"(32, 50)",0,1,1,1
