  cell  ,E,W,N,S
"(34, 15)",0,0,1,1
"(35, 15)",1,0,1,0
"(36, 15)",0,1,0,1
"(37, 15)",0,1,1,0
"(38, 15)",1,1,0,1
"(39, 15)",0,1,1,0
"(40, 15)",1,0,0,1
"(41, 15)",1,0,1,0
"(42, 15)",1,1,0,1
"(43, 15)",0,0,1,1
"(44, 15)",0,1,1,0
"(45, 15)",1,1,0,0
"(46, 15)",1,1,0,0
"(47, 15)",0,1,0,1
"(48, 15)",0,0,1,1
"(49, 15)",1,0,1,1
"(50, 15)",1,0,1,0
"(51, 15)",1,0,0,1
"(52, 15)",0,1,1,0
"(53, 15)",1,1,0,0
"(54, 15)",0,1,0,1
"(55, 15)",1,0,1,0
"(56, 15)",1,0,0,0
"(57, 15)",1,1,0,0
"(58, 15)",1,0,0,1
"(59, 15)",0,0,1,1
"(60, 15)",1,0,1,0
"(1, 16)",1,0,0,1
"(2, 16)",0,0,1,1
"(3, 16)",0,0,1,1
"(4, 16)",1,0,1,1
"(5, 16)",0,1,1,0
"(6, 16)",0,1,0,1
"(7, 16)",0,0,1,0
"(8, 16)",1,1,0,0
"(9, 16)",1,1,0,0
"(10, 16)",0,1,0,1
"(11, 16)",0,1,1,0
"(12, 16)",1,0,0,1
"(13, 16)",0,0,1,1
"(14, 16)",1,0,1,0
"(15, 16)",1,0,0,1
"(16, 16)",0,0,1,1
"(17, 16)",0,0,1,1
"(18, 16)",1,0,1,1
"(19, 16)",0,0,1,1
"(20, 16)",0,1,1,0
"(21, 16)",1,0,0,1
"(22, 16)",0,0,1,1
"(23, 16)",0,1,1,0
"(24, 16)",1,0,0,0
"(25, 16)",1,0,0,1
"(26, 16)",0,1,1,0
"(27, 16)",1,0,0,0
"(28, 16)",1,0,0,1
"(29, 16)",0,0,1,1
"(30, 16)",0,0,1,1
"(31, 16)",1,0,1,0
"(32, 16)",1,1,0,1
"(33, 16)",0,1,1,0
"(34, 16)",1,0,0,1
"(35, 16)",0,1,1,1
"(36, 16)",1,0,1,1
"(37, 16)",0,0,1,1
"(38, 16)",1,1,1,0
"(39, 16)",1,0,0,1
"(40, 16)",0,1,1,0
"(41, 16)",1,1,0,0
"(42, 16)",1,1,0,0
"(43, 16)",1,0,0,1
"(44, 16)",0,0,1,0
"(45, 16)",1,1,0,0
"(46, 16)",0,1,0,1
"(47, 16)",0,0,1,1
"(48, 16)",1,0,1,0
"(49, 16)",1,1,0,0
"(50, 16)",1,1,0,1
"(51, 16)",1,1,1,0
"(52, 16)",1,0,0,0
"(53, 16)",1,1,0,0
"(54, 16)",0,0,0,1
"(55, 16)",1,1,1,0
"(56, 16)",1,1,0,0
"(57, 16)",0,1,0,1
"(58, 16)",0,1,1,1
"(59, 16)",0,0,1,0
"(60, 16)",1,1,0,0
"(1, 17)",1,1,0,0
"(2, 17)",0,0,0,1
"(3, 17)",0,0,1,1
"(4, 17)",0,1,1,0
"(5, 17)",1,0,0,1
"(6, 17)",0,0,1,1
"(7, 17)",0,0,1,1
"(8, 17)",0,1,1,0
"(9, 17)",0,1,0,1
"(10, 17)",1,0,1,0
"(11, 17)",1,0,0,1
"(12, 17)",1,1,1,0
"(13, 17)",1,0,0,1
"(14, 17)",0,1,1,1
"(15, 17)",0,1,1,0
"(16, 17)",1,0,0,1
"(17, 17)",1,0,1,0
"(18, 17)",1,1,0,0
"(19, 17)",1,0,0,1
"(20, 17)",0,0,1,1
"(21, 17)",0,1,1,0
"(22, 17)",1,0,0,1
"(23, 17)",1,0,1,1
"(24, 17)",0,1,1,0
"(25, 17)",0,1,0,1
"(26, 17)",1,0,1,0
"(27, 17)",1,1,0,0
"(28, 17)",0,1,0,1
"(29, 17)",1,0,1,0
"(30, 17)",1,0,0,1
"(31, 17)",0,1,1,0
"(32, 17)",1,1,0,0
"(33, 17)",1,0,0,0
"(34, 17)",1,1,0,0
"(35, 17)",1,0,0,1
"(36, 17)",0,1,1,0
"(37, 17)",1,0,0,0
"(38, 17)",1,1,0,1
"(39, 17)",0,1,1,0
"(40, 17)",1,0,0,1
"(41, 17)",0,1,1,0
"(42, 17)",1,1,0,0
"(43, 17)",0,1,0,1
"(44, 17)",1,0,1,0
"(45, 17)",1,1,0,0
"(46, 17)",1,0,0,1
"(47, 17)",0,0,1,1
"(48, 17)",1,1,1,0
"(49, 17)",1,1,0,0
"(50, 17)",0,1,0,0
"(51, 17)",1,1,0,0
"(52, 17)",1,1,0,1
"(53, 17)",0,1,1,1
"(54, 17)",1,0,1,0
"(55, 17)",0,1,0,1
"(56, 17)",0,1,1,1
"(57, 17)",1,0,1,0
"(58, 17)",1,0,0,1
"(59, 17)",1,0,1,0
"(60, 17)",1,1,0,0
"(1, 18)",1,1,0,1
"(2, 18)",0,0,1,1
"(3, 18)",0,0,1,1
"(4, 18)",0,0,1,1
"(5, 18)",0,1,1,0
"(6, 18)",1,0,0,1
"(7, 18)",1,0,1,1
"(8, 18)",0,0,1,1
"(9, 18)",1,0,1,0
"(10, 18)",0,1,0,1
"(11, 18)",0,1,1,0
"(12, 18)",0,1,0,1
"(13, 18)",0,1,1,0
"(14, 18)",1,0,0,1
"(15, 18)",0,0,1,1
"(16, 18)",0,1,1,0
"(17, 18)",1,1,0,0
"(18, 18)",0,1,0,1
"(19, 18)",0,1,1,0
"(20, 18)",0,0,0,1
"(21, 18)",0,0,1,1
"(22, 18)",1,1,1,0
"(23, 18)",0,1,0,1
"(24, 18)",0,0,1,1
"(25, 18)",1,0,1,0
"(26, 18)",1,1,0,1
"(27, 18)",1,1,1,0
"(28, 18)",1,0,0,1
"(29, 18)",0,1,1,0
"(30, 18)",0,1,0,1
"(31, 18)",1,0,1,0
"(32, 18)",0,1,0,1
"(33, 18)",1,1,1,0
"(34, 18)",1,1,0,0
"(35, 18)",0,1,0,1
"(36, 18)",1,0,1,0
"(37, 18)",1,1,0,0
"(38, 18)",0,1,0,1
"(39, 18)",1,0,1,0
"(40, 18)",0,1,0,1
"(41, 18)",1,0,1,1
"(42, 18)",0,1,1,1
"(43, 18)",1,0,1,1
"(44, 18)",0,1,1,0
"(45, 18)",0,1,0,1
"(46, 18)",0,1,1,1
"(47, 18)",1,0,1,0
"(48, 18)",1,1,0,1
"(49, 18)",0,1,1,0
"(50, 18)",1,0,0,1
"(51, 18)",0,1,1,0
"(52, 18)",1,1,0,1
"(53, 18)",1,0,1,0
"(54, 18)",1,1,0,0
"(55, 18)",1,0,0,1
"(56, 18)",0,0,1,1
"(57, 18)",0,1,1,0
"(58, 18)",1,1,0,0
"(59, 18)",0,1,0,1
"(60, 18)",0,1,1,0
"(1, 19)",1,1,0,0
"(2, 19)",1,0,0,1
"(3, 19)",0,0,1,1
"(4, 19)",1,0,1,0
"(5, 19)",1,0,0,1
"(6, 19)",0,1,1,0
"(7, 19)",1,1,0,0
"(8, 19)",0,0,0,1
"(9, 19)",0,1,1,1
"(10, 19)",0,0,1,0
"(11, 19)",1,0,0,1
"(12, 19)",1,0,1,1
"(13, 19)",0,0,1,0
"(14, 19)",0,1,0,1
"(15, 19)",1,0,1,1
"(16, 19)",0,0,1,0
"(17, 19)",0,1,0,1
"(18, 19)",1,0,1,1
"(19, 19)",1,0,1,0
"(20, 19)",1,0,0,1
"(21, 19)",1,0,1,0
"(22, 19)",0,1,0,1
"(23, 19)",1,0,1,0
"(24, 19)",1,0,0,0
"(25, 19)",0,1,0,1
"(26, 19)",0,1,1,0
"(27, 19)",1,1,0,1
"(28, 19)",0,1,1,0
"(29, 19)",1,0,0,1
"(30, 19)",0,0,1,0
"(31, 19)",1,1,0,0
"(32, 19)",0,0,0,1
"(33, 19)",0,1,1,0
"(34, 19)",0,1,0,1
"(35, 19)",0,0,1,1
"(36, 19)",0,1,1,1
"(37, 19)",0,1,1,0
"(38, 19)",1,0,0,1
"(39, 19)",0,1,1,0
"(40, 19)",1,0,0,0
"(41, 19)",0,1,0,1
"(42, 19)",1,0,1,0
"(43, 19)",0,1,0,0
"(44, 19)",1,0,0,1
"(45, 19)",1,0,1,1
"(46, 19)",1,0,1,1
"(47, 19)",0,1,1,1
"(48, 19)",0,1,1,0
"(49, 19)",1,0,0,1
"(50, 19)",0,1,1,0
"(51, 19)",1,0,0,1
"(52, 19)",0,1,1,0
"(53, 19)",1,1,0,0
"(54, 19)",1,1,0,0
"(55, 19)",0,1,0,1
"(56, 19)",1,0,1,0
"(57, 19)",1,0,0,0
"(58, 19)",1,1,0,0
"(59, 19)",1,0,0,1
"(60, 19)",1,0,1,0
"(1, 20)",1,1,0,0
"(2, 20)",1,1,0,1
"(3, 20)",0,0,1,0
"(4, 20)",1,1,0,0
"(5, 20)",0,1,0,1
"(6, 20)",1,0,1,0
"(7, 20)",0,1,0,1
"(8, 20)",1,0,1,0
"(9, 20)",1,0,0,1
"(10, 20)",1,0,1,0
"(11, 20)",1,1,0,0
"(12, 20)",0,1,0,1
"(13, 20)",1,0,1,0
"(14, 20)",1,0,0,1
"(15, 20)",0,1,1,0
"(16, 20)",1,0,0,1
"(17, 20)",1,0,1,0
"(18, 20)",1,1,0,0
"(19, 20)",0,1,0,1
"(20, 20)",0,1,1,0
"(21, 20)",1,1,0,0
"(22, 20)",1,0,0,0
"(23, 20)",1,1,0,0
"(24, 20)",1,1,0,1
"(25, 20)",0,0,1,1
"(26, 20)",1,0,1,1
"(27, 20)",1,1,1,0
"(28, 20)",1,0,0,1
"(29, 20)",0,1,1,1
"(30, 20)",0,0,1,1
"(31, 20)",0,1,1,1
"(32, 20)",0,0,1,1
"(33, 20)",0,0,1,1
"(34, 20)",0,0,1,1
"(35, 20)",0,0,1,1
"(36, 20)",0,0,1,1
"(37, 20)",0,0,1,1
"(38, 20)",0,1,1,0
"(39, 20)",1,0,0,1
"(40, 20)",1,1,1,0
"(41, 20)",1,0,0,0
"(42, 20)",0,1,0,1
"(43, 20)",1,0,1,0
"(44, 20)",1,1,0,0
"(45, 20)",1,1,0,0
"(46, 20)",0,1,0,0
"(47, 20)",1,0,0,1
"(48, 20)",1,0,1,0
"(49, 20)",1,1,0,0
"(50, 20)",1,0,0,0
"(51, 20)",0,1,0,1
"(52, 20)",1,0,1,0
"(53, 20)",1,1,0,0
"(54, 20)",1,1,0,0
"(55, 20)",1,0,0,1
"(56, 20)",0,1,1,1
"(57, 20)",0,1,1,0
"(58, 20)",0,1,0,1
"(59, 20)",1,1,1,0
"(60, 20)",1,1,0,0
"(1, 21)",1,1,0,0
"(2, 21)",0,1,0,0
"(3, 21)",1,0,0,1
"(4, 21)",1,1,1,0
"(5, 21)",1,0,0,1
"(6, 21)",0,1,1,1
"(7, 21)",0,0,1,0
"(8, 21)",0,1,0,1
"(9, 21)",0,1,1,0
"(10, 21)",1,1,0,0
"(11, 21)",0,1,0,1
"(12, 21)",1,0,1,0
"(13, 21)",1,1,0,1
"(14, 21)",0,1,1,1
"(15, 21)",1,0,1,0
"(16, 21)",1,1,0,0
"(17, 21)",0,1,0,1
"(18, 21)",0,1,1,0
"(19, 21)",1,0,0,1
"(20, 21)",0,0,1,1
"(21, 21)",0,1,1,0
"(22, 21)",1,1,0,1
"(23, 21)",0,1,1,0
"(24, 21)",0,1,0,0
"(25, 21)",1,0,0,1
"(26, 21)",0,1,1,0
"(27, 21)",1,1,0,1
"(28, 21)",0,1,1,0
"(29, 21)",1,0,0,1
"(30, 21)",0,0,1,1
"(31, 21)",0,0,1,1
"(32, 21)",0,0,1,1
"(33, 21)",1,0,1,0
"(34, 21)",1,0,0,1
"(35, 21)",1,0,1,0
"(36, 21)",0,0,0,1
"(37, 21)",1,0,1,1
"(38, 21)",0,0,1,1
"(39, 21)",1,1,1,0
"(40, 21)",0,1,0,1
"(41, 21)",0,1,1,1
"(42, 21)",0,0,1,0
"(43, 21)",1,1,0,0
"(44, 21)",1,1,0,0
"(45, 21)",1,1,0,0
"(46, 21)",1,0,0,1
"(47, 21)",0,1,1,0
"(48, 21)",0,1,0,1
"(49, 21)",0,1,1,0
"(50, 21)",1,1,0,1
"(51, 21)",0,0,1,1
"(52, 21)",0,1,1,1
"(53, 21)",0,1,1,1
"(54, 21)",0,1,1,0
"(55, 21)",0,1,0,0
"(56, 21)",1,0,0,1
"(57, 21)",0,0,1,1
"(58, 21)",1,0,1,0
"(59, 21)",0,1,0,0
"(60, 21)",1,1,0,0
"(1, 22)",0,1,0,1
"(2, 22)",1,0,1,0
"(3, 22)",1,1,0,0
"(4, 22)",0,1,0,0
"(5, 22)",1,1,0,0
"(6, 22)",1,0,0,1
"(7, 22)",0,0,1,1
"(8, 22)",0,0,1,1
"(9, 22)",1,0,1,0
"(10, 22)",1,1,0,1
"(11, 22)",0,0,1,1
"(12, 22)",0,1,1,0
"(13, 22)",0,1,0,1
"(14, 22)",1,0,1,1
"(15, 22)",1,1,1,0
"(16, 22)",1,1,0,0
"(17, 22)",1,0,0,0
"(18, 22)",1,0,0,1
"(19, 22)",0,1,1,0
"(20, 22)",1,0,0,1
"(21, 22)",0,0,1,0
"(22, 22)",1,1,0,0
"(23, 22)",1,0,0,1
"(24, 22)",0,0,1,1
"(25, 22)",0,1,1,0
"(26, 22)",1,0,0,1
"(27, 22)",1,1,1,0
"(28, 22)",1,0,0,1
"(29, 22)",0,1,1,0
"(30, 22)",1,0,0,1
"(31, 22)",1,0,1,1
"(32, 22)",0,0,1,0
"(33, 22)",0,1,0,1
"(34, 22)",0,1,1,0
"(35, 22)",0,1,0,1
"(36, 22)",1,0,1,0
"(37, 22)",1,1,0,1
"(38, 22)",1,0,1,0
"(39, 22)",0,1,0,0
"(40, 22)",1,0,0,1
"(41, 22)",0,0,1,1
"(42, 22)",1,0,1,0
"(43, 22)",0,1,0,1
"(44, 22)",0,1,1,0
"(45, 22)",1,1,0,0
"(46, 22)",1,1,0,0
"(47, 22)",0,0,0,1
"(48, 22)",1,0,1,1
"(49, 22)",1,0,1,1
"(50, 22)",1,1,1,0
"(51, 22)",1,0,0,0
"(52, 22)",1,0,0,1
"(53, 22)",0,0,1,1
"(54, 22)",0,0,1,1
"(55, 22)",1,0,1,1
"(56, 22)",0,1,1,0
"(57, 22)",1,0,0,0
"(58, 22)",0,1,0,1
"(59, 22)",0,0,1,1
"(60, 22)",1,1,1,0
"(1, 23)",1,0,0,1
"(2, 23)",0,1,1,0
"(3, 23)",0,1,0,1
"(4, 23)",0,0,1,1
"(5, 23)",0,1,1,0
"(6, 23)",0,1,0,1
"(7, 23)",0,0,1,1
"(8, 23)",1,0,1,0
"(9, 23)",1,1,0,0
"(10, 23)",0,1,0,1
"(11, 23)",0,0,1,1
"(12, 23)",0,0,1,1
"(13, 23)",0,0,1,1
"(14, 23)",0,1,1,0
"(15, 23)",1,1,0,0
"(16, 23)",1,1,0,1
"(17, 23)",1,1,1,0
"(18, 23)",0,1,0,1
"(19, 23)",1,0,1,0
"(20, 23)",1,1,0,0
"(21, 23)",1,0,0,1
"(22, 23)",0,1,1,0
"(23, 23)",0,1,0,1
"(24, 23)",0,0,1,1
"(25, 23)",1,0,1,0
"(26, 23)",1,1,0,0
"(27, 23)",1,1,0,0
"(28, 23)",0,1,0,1
"(29, 23)",1,0,1,0
"(30, 23)",0,1,0,0
"(31, 23)",0,1,0,1
"(32, 23)",1,0,1,1
"(33, 23)",0,0,1,1
"(34, 23)",1,0,1,0
"(35, 23)",1,0,0,0
"(36, 23)",1,1,0,0
"(37, 23)",1,1,0,0
"(38, 23)",0,1,0,1
"(39, 23)",1,0,1,0
"(40, 23)",1,1,0,0
"(41, 23)",1,0,0,0
"(42, 23)",1,1,0,1
"(43, 23)",0,0,1,1
"(44, 23)",1,0,1,0
"(45, 23)",0,1,0,1
"(46, 23)",0,1,1,0
"(47, 23)",1,0,0,1
"(48, 23)",0,1,1,0
"(49, 23)",0,1,0,0
"(50, 23)",1,1,0,0
"(51, 23)",1,1,0,0
"(52, 23)",0,1,0,1
"(53, 23)",1,0,1,0
"(54, 23)",1,0,0,0
"(55, 23)",0,1,0,1
"(56, 23)",1,0,1,0
"(57, 23)",0,1,0,1
"(58, 23)",0,0,1,1
"(59, 23)",1,0,1,1
"(60, 23)",0,1,1,0
"(1, 24)",1,1,0,0
"(2, 24)",0,0,0,1
"(3, 24)",1,0,1,1
"(4, 24)",0,0,1,1
"(5, 24)",0,0,1,1
"(6, 24)",0,0,1,1
"(7, 24)",0,0,1,1
"(8, 24)",0,1,1,0
"(9, 24)",0,1,0,1
"(10, 24)",1,0,1,0
"(11, 24)",1,0,0,1
"(12, 24)",0,0,1,1
"(13, 24)",0,0,1,0
"(14, 24)",1,0,0,1
"(15, 24)",0,1,1,0
"(16, 24)",1,1,0,0
"(17, 24)",1,1,0,1
"(18, 24)",1,0,1,0
"(19, 24)",1,1,0,0
"(20, 24)",1,1,0,0
"(21, 24)",0,1,0,1
"(22, 24)",1,0,1,0
"(23, 24)",1,0,0,1
"(24, 24)",0,0,1,1
"(25, 24)",1,1,1,0
"(26, 24)",1,1,0,0
"(27, 24)",1,1,0,1
"(28, 24)",1,0,1,0
"(29, 24)",1,1,0,0
"(30, 24)",1,0,0,1
"(31, 24)",1,0,1,0
"(32, 24)",0,1,0,1
"(33, 24)",1,0,1,0
"(34, 24)",0,1,0,1
"(35, 24)",0,1,1,0
"(36, 24)",1,1,0,0
"(37, 24)",0,1,0,1
"(38, 24)",0,0,1,0
"(39, 24)",1,1,0,0
"(40, 24)",1,1,0,1
"(41, 24)",0,1,1,0
"(42, 24)",1,1,0,0
"(43, 24)",1,0,0,1
"(44, 24)",1,1,1,1
"(45, 24)",0,0,1,1
"(46, 24)",1,0,1,1
"(47, 24)",0,1,1,0
"(48, 24)",1,0,0,1
"(49, 24)",0,0,1,1
"(50, 24)",0,1,1,0
"(51, 24)",1,1,0,0
"(52, 24)",1,0,0,1
"(53, 24)",0,1,1,0
"(54, 24)",1,1,0,1
"(55, 24)",1,0,1,0
"(56, 24)",0,1,0,1
"(57, 24)",1,0,1,1
"(58, 24)",1,0,1,0
"(59, 24)",0,1,0,1
"(60, 24)",1,0,1,0
"(1, 25)",0,1,0,1
"(2, 25)",1,0,1,0
"(3, 25)",0,1,0,1
"(4, 25)",1,0,1,0
"(5, 25)",1,0,0,1
"(6, 25)",1,0,1,0
"(7, 25)",1,0,0,1
"(8, 25)",0,0,1,1
"(9, 25)",0,0,1,1
"(10, 25)",0,1,1,0
"(11, 25)",1,1,0,0
"(12, 25)",1,0,0,1
"(13, 25)",0,0,1,1
"(14, 25)",0,1,1,1
"(15, 25)",0,0,1,0
"(16, 25)",1,1,0,0
"(17, 25)",0,1,0,0
"(18, 25)",1,1,0,0
"(19, 25)",1,1,0,0
"(20, 25)",0,1,0,1
"(21, 25)",0,0,1,1
"(22, 25)",1,1,1,0
"(23, 25)",0,1,0,1
"(24, 25)",1,0,1,0
"(25, 25)",1,1,0,0
"(26, 25)",0,1,0,1
"(27, 25)",0,1,1,0
"(28, 25)",1,1,0,0
"(29, 25)",0,1,0,1
"(30, 25)",0,1,1,0
"(31, 25)",0,1,0,1
"(32, 25)",1,0,1,1
"(33, 25)",0,1,1,0
"(34, 25)",1,0,0,1
"(35, 25)",0,0,1,1
"(36, 25)",0,1,1,0
"(37, 25)",1,0,0,1
"(38, 25)",1,0,1,0
"(39, 25)",0,1,0,1
"(40, 25)",1,1,1,0
"(41, 25)",1,0,0,1
"(42, 25)",1,1,1,0
"(43, 25)",1,1,0,0
"(44, 25)",0,1,0,1
"(45, 25)",1,0,1,0
"(46, 25)",0,1,0,0
"(47, 25)",1,0,0,1
"(48, 25)",0,1,1,0
"(49, 25)",1,0,0,1
"(50, 25)",0,0,1,1
"(51, 25)",0,1,1,0
"(52, 25)",0,1,0,1
"(53, 25)",1,0,1,0
"(54, 25)",0,1,0,0
"(55, 25)",1,1,0,1
"(56, 25)",0,0,1,1
"(57, 25)",1,1,1,0
"(58, 25)",0,1,0,1
"(59, 25)",1,0,1,0
"(60, 25)",1,1,0,0
"(1, 26)",1,0,0,0
"(2, 26)",0,1,0,1
"(3, 26)",1,0,1,0
"(4, 26)",0,1,0,1
"(5, 26)",1,1,1,0
"(6, 26)",1,1,0,0
"(7, 26)",1,1,0,1
"(8, 26)",0,0,1,1
"(9, 26)",0,0,1,1
"(10, 26)",1,0,1,0
"(11, 26)",0,1,0,1
"(12, 26)",0,1,1,0
"(13, 26)",1,0,0,1
"(14, 26)",0,0,1,1
"(15, 26)",1,0,1,0
"(16, 26)",1,1,0,1
"(17, 26)",1,0,1,0
"(18, 26)",1,1,0,0
"(19, 26)",1,1,0,0
"(20, 26)",1,0,0,1
"(21, 26)",1,0,1,0
"(22, 26)",0,1,0,1
"(23, 26)",1,0,1,0
"(24, 26)",1,1,0,0
"(25, 26)",1,1,0,0
"(26, 26)",1,0,0,1
"(27, 26)",1,0,1,0
"(28, 26)",0,1,0,1
"(29, 26)",1,0,1,1
"(30, 26)",1,0,1,0
"(31, 26)",1,0,0,1
"(32, 26)",0,1,1,0
"(33, 26)",1,0,0,1
"(34, 26)",0,1,1,0
"(35, 26)",1,0,0,1
"(36, 26)",1,0,1,1
"(37, 26)",0,1,1,0
"(38, 26)",0,1,0,1
"(39, 26)",1,0,1,0
"(40, 26)",0,1,0,0
"(41, 26)",1,1,0,0
"(42, 26)",0,1,0,0
"(43, 26)",0,1,0,1
"(44, 26)",1,0,1,0
"(45, 26)",0,1,0,1
"(46, 26)",0,0,1,1
"(47, 26)",0,1,1,0
"(48, 26)",1,0,0,1
"(49, 26)",1,1,1,1
"(50, 26)",0,0,1,1
"(51, 26)",0,0,1,1
"(52, 26)",1,0,1,0
"(53, 26)",0,1,0,1
"(54, 26)",1,0,1,0
"(55, 26)",1,1,0,0
"(56, 26)",1,0,0,1
"(57, 26)",0,1,1,0
"(58, 26)",1,0,0,1
"(59, 26)",0,1,1,0
"(60, 26)",0,1,0,0
"(1, 27)",0,1,0,1
"(2, 27)",1,0,1,1
"(3, 27)",0,1,1,1
"(4, 27)",1,0,1,0
"(5, 27)",1,1,0,0
"(6, 27)",0,1,0,1
"(7, 27)",1,1,1,0
"(8, 27)",1,0,0,1
"(9, 27)",1,0,1,0
"(10, 27)",0,1,0,1
"(11, 27)",0,0,1,1
"(12, 27)",0,0,1,1
"(13, 27)",0,1,1,0
"(14, 27)",1,0,0,1
"(15, 27)",0,1,1,0
"(16, 27)",1,1,0,0
"(17, 27)",1,1,0,1
"(18, 27)",1,1,1,1
"(19, 27)",0,1,1,0
"(20, 27)",1,1,0,0
"(21, 27)",0,1,0,1
"(22, 27)",1,0,1,0
"(23, 27)",0,1,0,1
"(24, 27)",0,1,1,0
"(25, 27)",1,1,0,0
"(26, 27)",1,1,0,0
"(27, 27)",1,1,0,0
"(28, 27)",1,0,0,1
"(29, 27)",1,1,1,0
"(30, 27)",0,1,0,0
"(31, 27)",1,1,0,0
"(32, 27)",1,0,0,0
"(33, 27)",1,1,0,0
"(34, 27)",1,0,0,1
"(35, 27)",0,1,1,0
"(36, 27)",1,1,0,0
"(37, 27)",1,0,0,1
"(38, 27)",0,0,1,1
"(39, 27)",0,1,1,0
"(40, 27)",1,0,0,1
"(41, 27)",0,1,1,0
"(42, 27)",1,0,0,1
"(43, 27)",0,0,1,1
"(44, 27)",0,1,1,0
"(45, 27)",1,0,0,1
"(46, 27)",1,0,1,1
"(47, 27)",0,0,1,1
"(48, 27)",1,1,1,0
"(49, 27)",1,1,0,1
"(50, 27)",1,0,1,1
"(51, 27)",0,0,1,0
"(52, 27)",1,1,0,1
"(53, 27)",1,0,1,0
"(54, 27)",0,1,0,1
"(55, 27)",1,1,1,0
"(56, 27)",0,1,0,1
"(57, 27)",0,0,1,0
"(58, 27)",0,1,0,1
"(59, 27)",0,0,1,1
"(60, 27)",1,0,1,0
"(1, 28)",1,0,0,1
"(2, 28)",0,1,1,0
"(3, 28)",1,0,0,1
"(4, 28)",0,1,1,0
"(5, 28)",0,1,0,1
"(6, 28)",0,0,1,0
"(7, 28)",0,1,0,1
"(8, 28)",0,1,1,0
"(9, 28)",1,1,0,0
"(10, 28)",0,0,0,1
"(11, 28)",1,0,1,1
"(12, 28)",0,0,1,1
"(13, 28)",1,0,1,0
"(14, 28)",0,1,0,1
"(15, 28)",1,0,1,0
"(16, 28)",0,1,0,0
"(17, 28)",1,1,0,0
"(18, 28)",1,1,0,0
"(19, 28)",1,0,0,1
"(20, 28)",0,1,1,0
"(21, 28)",0,0,0,1
"(22, 28)",0,1,1,1
"(23, 28)",0,0,1,1
"(24, 28)",1,0,1,0
"(25, 28)",0,1,0,1
"(26, 28)",0,1,1,0
"(27, 28)",0,1,0,0
"(28, 28)",1,1,0,0
"(29, 28)",1,1,0,0
"(30, 28)",1,0,0,1
"(31, 28)",0,1,1,0
"(32, 28)",1,1,0,0
"(33, 28)",1,1,0,0
"(34, 28)",0,1,0,1
"(35, 28)",0,0,1,1
"(36, 28)",1,1,1,0
"(37, 28)",1,1,0,0
"(38, 28)",1,0,0,1
"(39, 28)",0,0,1,1
"(40, 28)",0,1,1,1
"(41, 28)",1,0,1,0
"(42, 28)",0,1,0,1
"(43, 28)",1,0,1,0
"(44, 28)",0,0,0,1
"(45, 28)",1,1,1,0
"(46, 28)",0,1,0,1
"(47, 28)",1,0,1,0
"(48, 28)",1,1,0,0
"(49, 28)",1,1,0,0
"(50, 28)",1,1,0,0
"(51, 28)",1,0,0,1
"(52, 28)",0,1,1,0
"(53, 28)",0,1,0,1
"(54, 28)",0,0,1,0
"(55, 28)",1,1,0,0
"(56, 28)",1,0,0,1
"(57, 28)",0,0,1,1
"(58, 28)",0,0,1,1
"(59, 28)",1,0,1,0
"(60, 28)",1,1,0,0
"(1, 29)",1,1,0,1
"(2, 29)",1,0,1,0
"(3, 29)",0,1,0,1
"(4, 29)",0,0,1,1
"(5, 29)",0,0,1,1
"(6, 29)",0,0,1,1
"(7, 29)",0,0,1,1
"(8, 29)",1,0,1,0
"(9, 29)",0,1,0,1
"(10, 29)",1,0,1,0
"(11, 29)",0,1,0,1
"(12, 29)",1,0,1,0
"(13, 29)",0,1,0,1
"(14, 29)",0,0,1,1
"(15, 29)",0,1,1,0
"(16, 29)",1,0,0,1
"(17, 29)",0,1,1,0
"(18, 29)",1,1,0,0
"(19, 29)",1,1,0,0
"(20, 29)",1,0,0,1
"(21, 29)",1,0,1,0
"(22, 29)",1,0,0,1
"(23, 29)",0,0,1,1
"(24, 29)",0,1,1,1
"(25, 29)",0,0,1,1
"(26, 29)",0,0,1,1
"(27, 29)",0,0,1,1
"(28, 29)",0,1,1,1
"(29, 29)",1,1,1,0
"(30, 29)",0,1,0,1
"(31, 29)",1,0,1,1
"(32, 29)",0,1,1,0
"(33, 29)",1,1,0,0
"(34, 29)",1,0,0,1
"(35, 29)",0,0,1,1
"(36, 29)",0,1,1,0
"(37, 29)",1,1,0,1
"(38, 29)",0,1,1,1
"(39, 29)",1,0,1,0
"(40, 29)",1,0,0,1
"(41, 29)",0,1,1,1
"(42, 29)",0,0,1,0
"(43, 29)",0,1,0,1
"(44, 29)",1,0,1,0
"(45, 29)",1,1,0,1
"(46, 29)",1,0,1,0
"(47, 29)",1,1,0,0
"(48, 29)",1,1,0,1
"(49, 29)",0,1,1,0
"(50, 29)",0,1,0,0
"(51, 29)",0,1,0,1
"(52, 29)",0,0,1,1
"(53, 29)",0,0,1,1
"(54, 29)",0,0,1,1
"(55, 29)",0,1,1,0
"(56, 29)",0,1,0,1
"(57, 29)",1,0,1,0
"(58, 29)",1,0,0,0
"(59, 29)",1,1,0,0
"(60, 29)",1,1,0,0
"(1, 30)",1,1,0,0
"(2, 30)",1,1,0,1
"(3, 30)",0,0,1,0
"(4, 30)",1,0,0,1
"(5, 30)",0,0,1,1
"(6, 30)",0,0,1,1
"(7, 30)",0,0,1,1
